7,6,Bera Grylls,1974,,,,,,
8,6,Sentino,1983,Kanye West,1977,,,,
9,6,Johnny Depp,1963,,,,,,
10,6,Książe Filip,1921,,,,,,
11,6,Przemysław Czarnek,1977,,,,,,
12,6,Anne Frank,1929,,,,,,
13,6,Cezary Pazura,1962,,,,,,
14,6,Donald Trump,1946,,,,,,
15,6,Borixon,1977,Ice Cube,1969,,,,
16,6,Tupac Shakur,1971,,,,,,
17,6,Kabe,2000,,,,,,
18,6,Lech Kaczyński,1949,Jarosław Kaczyński,1949,,,,
19,6,Boris Johnson,1964,,,,,,
20,6,Mateusz Morawiecki,1968,,,,,,
21,6,Tomasz Karolak,1971,Edward Snowden,1983,,,,
22,6,Cezary Kulesza,1962,Franciszek Smuda,1948,,,,
23,6,Kizo,1994,Zinedine Zidane,1972,Zenon Martyniuk,1969,,
24,6,Lionel Messi,1987,Jan Matejko,1838,,,,
25,6,Antoni Gaudí,1852,George Michael,1963,Ricky Gervais,1961,,
26,6,Ariana Grande,1993,,,,,,
27,6,Bogusław Linda,1952,Wojciech Cejrowski,1964,,,,
28,6,Elon Musk,1971,Bonus BGC,1989,,,,
29,6,ANTOINE DE SAINT-EXUPÉRY,1900,,,,,,
30,6,Mike Tyson,1966,Margaret,1991,,,,
1,7,Diana (księżna Walii),1961,Pamela Anderson,1967,,,,
2,7,Żabson,1994,Karol Strasburger,1947,Wisława Szymborska,1923,,
3,7,Leszek Miller,1946,Tom Cruise,1962,,,,
4,7,Post Malone,1995,XAYOO,1997,,,,
5,7,Mohand al-Shehri (rozjebał World Trade Center),1979,,,,,,
6,7,George W. Bush,1946,Sylvester Stallone,1946,50 CENT,1975,,
7,7,Quebonafide,1991,Wojciech Olszański,1960,,,,
8,7,Jaden Smith,1998,,,,,,
9,7,Tom Hanks,1956,Jordan Belfort,1962,,,,
10,7,Magda Gessler,1953,Nikola Tesla,1856,Sylwester Maciejewski (Solejuk) ,1955,,
11,7,Michał Sołowow,1962,,,,,,
12,7,Liroy,1971,,,,,,
13,7,Harrison Ford,1942,,,,,,
14,7,Mata,2000,,,,,,
15,7,Tristan Tate,1988,,,,,,
16,7,Tadeusz Sznuk,1943,,,,,,
17,7,Angela Merkel,1954,David Hasselhoff,1952,,,,
18,7,Nelson Mandela,1918,Vin Diesel,1967,,,,
19,7,Benedict Cumberbatch,1976,,,,,,
20,7,Pop Smoke,1999,,,,,,
21,7,Erling Haaland,2000,,,,,,
22,7,Selena Gomez,1992,Gregor Mendel,1822,,,,
23,7,Daniel Radcliffe,1989,,,,,,
24,7,Jennifer Lopez,1969,Tede,1976,,,,
25,7,Matt LeBlanc,1967,,,,,,
26,7,Kevin Spacey,1959,Mick Jagger,1943,Jason Statham,1967,,
27,7,Tory Lanez,1992,,,,,,
28,7,Dana White,1969,,,,,,
